Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,30.45,30.48,30.08,30.10,26.99,88102700.00
2010-01-04,30.49,30.64,30.34,30.57,27.41,123432400.00
2010-01-05,30.66,30.80,30.46,30.63,27.45,150476200.00
2010-01-06,30.63,30.75,30.11,30.14,27.02,138040000.00
2010-01-07,30.25,30.29,29.86,30.08,26.97,119282800.00
2010-01-08,30.04,30.29,29.87,30.28,27.15,111902700.00
2010-01-11,30.40,30.43,29.78,30.02,26.91,115557400.00
2010-01-12,29.88,29.97,29.49,29.67,26.60,148614900.00
2010-01-13,29.70,30.13,29.16,30.09,26.98,151473000.00
2010-01-14,30.02,30.07,29.86,29.92,26.82,108223500.00
2010-01-15,30.13,30.23,29.41,29.42,26.37,148516900.00
2010-01-19,29.76,30.74,29.61,30.72,27.54,182501900.00
2010-01-20,30.70,30.79,29.93,30.25,27.11,153038200.00
2010-01-21,30.30,30.47,29.60,29.72,26.65,152038600.00
2010-01-22,29.54,29.64,28.17,28.25,25.32,220441900.00
2010-01-25,28.93,29.24,28.60,29.01,26.01,266424900.00
2010-01-26,29.42,30.53,28.94,29.42,26.37,466777500.00
2010-01-27,29.55,30.08,28.50,29.70,26.62,430642100.00
2010-01-28,29.28,29.36,28.39,28.47,25.52,293375600.00
2010-01-29,28.73,28.89,27.18,27.44,24.60,311488100.00
2010-02-01,27.48,28.00,27.33,27.82,24.94,187469100.00
2010-02-02,27.99,28.05,27.63,27.98,25.08,174585600.00
2010-02-03,27.88,28.60,27.77,28.46,25.51,153832000.00
2010-02-04,28.10,28.34,27.37,27.44,24.59,189413000.00
2010-02-05,27.52,28.00,27.26,27.92,25.03,212576700.00
2010-02-08,27.96,28.27,27.71,27.73,24.86,119567700.00
2010-02-09,28.06,28.21,27.82,28.03,25.12,158221700.00
2010-02-10,27.98,28.09,27.75,27.87,24.99,92590400.00
2010-02-11,27.84,28.54,27.72,28.38,25.44,137586400.00
2010-02-12,28.30,28.81,27.93,28.63,25.66,163867200.00
2010-02-16,28.85,29.10,28.79,29.06,26.05,135934400.00
2010-02-17,29.17,29.19,28.69,28.94,25.94,109099200.00
2010-02-18,28.80,29.13,28.70,28.99,25.99,105706300.00
2010-02-19,28.84,29.03,28.73,28.81,25.83,103867400.00
2010-02-22,28.91,28.93,28.46,28.63,25.67,97640900.00
2010-02-23,28.57,28.76,27.96,28.15,25.24,143773700.00
2010-02-24,28.32,28.78,28.26,28.67,25.70,115141600.00
2010-02-25,28.20,28.98,28.13,28.86,25.87,166281500.00
2010-02-26,28.91,29.31,28.86,29.23,26.20,126865200.00
2010-03-01,29.39,29.93,29.35,29.86,26.76,137523400.00
2010-03-02,29.99,30.12,29.68,29.84,26.75,141636600.00
2010-03-03,29.85,29.98,29.71,29.90,26.81,93013200.00
2010-03-04,29.90,30.13,29.80,30.10,26.98,91510300.00
2010-03-05,30.71,31.39,30.66,31.28,28.04,224905100.00
2010-03-08,31.43,31.44,31.18,31.30,28.06,107472400.00
2010-03-09,31.19,32.14,31.13,31.86,28.56,230064800.00
2010-03-10,31.98,32.21,31.89,32.12,28.79,149054500.00
2010-03-11,31.99,32.21,31.90,32.21,28.88,101425100.00
2010-03-12,32.48,32.53,32.25,32.37,29.02,104080900.00
2010-03-15,32.20,32.21,31.46,31.98,28.67,123375700.00
2010-03-16,32.03,32.14,31.79,32.06,28.74,111727000.00
2010-03-17,32.13,32.35,31.90,32.02,28.70,112739200.00
2010-03-18,32.01,32.14,31.80,32.09,28.77,85527400.00
2010-03-19,32.11,32.18,31.60,31.75,28.46,139861400.00
2010-03-22,31.50,32.29,31.45,32.11,28.78,114104900.00
2010-03-23,32.23,32.68,32.01,32.62,29.24,150607800.00
2010-03-24,32.52,32.89,32.50,32.77,29.37,149445100.00
2010-03-25,32.99,33.00,32.32,32.38,29.03,135571100.00
2010-03-26,32.71,33.14,32.65,32.99,29.57,160218800.00
2010-03-29,33.29,33.41,33.09,33.20,29.76,135186100.00
2010-03-30,33.80,33.93,33.46,33.69,30.20,131827500.00
2010-03-31,33.64,33.80,33.49,33.57,30.09,107664900.00
2010-04-01,33.92,34.10,33.25,33.71,30.22,150786300.00
2010-04-05,33.57,34.07,33.54,34.07,30.54,171126900.00
2010-04-06,34.03,34.32,33.86,34.22,30.68,111754300.00
2010-04-07,34.22,34.56,34.09,34.37,30.81,157125500.00
2010-04-08,34.35,34.51,34.01,34.28,30.73,143247300.00
2010-04-09,34.49,34.56,34.35,34.54,30.96,83545700.00
2010-04-12,34.60,34.72,34.54,34.61,31.03,83256600.00
2010-04-13,34.55,34.69,34.44,34.63,31.05,76552700.00
2010-04-14,35.04,35.12,34.87,35.10,31.46,101019100.00
2010-04-15,35.11,35.58,35.07,35.56,31.88,94196200.00
2010-04-16,35.51,35.88,34.94,35.34,31.68,187636400.00
2010-04-19,35.29,35.41,34.54,35.30,31.64,141731100.00
2010-04-20,35.51,35.61,34.71,34.94,31.32,184581600.00
2010-04-21,36.97,37.18,36.53,37.03,33.20,245597800.00
2010-04-22,36.89,38.11,36.60,38.07,34.12,198356200.00
2010-04-23,38.28,38.88,38.14,38.69,34.68,199238900.00
2010-04-26,38.84,38.92,38.31,38.50,34.51,119767200.00
2010-04-27,38.18,38.26,37.22,37.43,33.56,177335900.00
2010-04-28,37.61,37.71,36.63,37.37,33.50,189600600.00
2010-04-29,37.57,38.57,37.43,38.38,34.40,139710200.00
2010-04-30,38.47,38.65,37.29,37.30,33.44,135615900.00
2010-05-03,37.69,38.27,37.55,38.05,34.11,113585500.00
2010-05-04,37.56,37.61,36.68,36.95,33.13,180954900.00
2010-05-05,36.15,36.88,35.53,36.57,32.78,220775800.00
2010-05-06,36.26,36.89,28.46,35.18,31.54,321465200.00
2010-05-07,34.82,35.22,32.17,33.69,30.20,419004600.00
2010-05-10,35.75,36.38,35.50,36.28,32.53,246076600.00
2010-05-11,35.98,37.13,35.79,36.65,32.85,212226700.00
2010-05-12,37.03,37.59,36.96,37.44,33.56,163594900.00
2010-05-13,37.60,37.86,36.63,36.91,33.09,149928100.00
2010-05-14,36.45,36.64,35.64,36.26,32.50,189840700.00
2010-05-17,36.39,36.60,35.39,36.32,32.56,190708700.00
2010-05-18,36.71,36.94,35.75,36.05,32.32,195669600.00
2010-05-19,35.64,36.13,34.98,35.48,31.80,256431700.00
2010-05-20,34.55,34.84,33.74,33.97,30.45,320728800.00
2010-05-21,33.26,34.93,33.05,34.62,31.03,305972800.00
2010-05-24,35.33,35.84,35.18,35.25,31.60,188559700.00
2010-05-25,34.19,35.25,33.88,35.03,31.40,262001600.00
2010-05-26,35.73,36.02,34.82,34.87,31.26,212663500.00
2010-05-27,35.80,36.27,35.59,36.19,32.44,166570600.00
2010-05-28,37.06,37.06,36.19,36.70,32.90,203903700.00
2010-06-01,37.10,37.99,36.99,37.26,33.40,219118200.00
2010-06-02,37.79,37.83,37.19,37.71,33.80,172137000.00
2010-06-03,37.88,37.94,37.20,37.59,33.70,162526700.00
2010-06-04,36.89,37.41,36.38,36.57,32.78,189576100.00
2010-06-07,36.90,37.02,35.79,35.85,32.14,221735500.00
2010-06-08,36.18,36.26,35.09,35.62,31.93,250192600.00
2010-06-09,35.92,35.99,34.64,34.74,31.14,213657500.00
