Date,Open,High,Low,Close,Adj Close,Volume
2010-10-15,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-18,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-19,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-20,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-21,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-22,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-25,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-26,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-27,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-28,660.00,660.00,660.00,660.00,643.17,0.00
2010-10-29,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-01,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-02,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-03,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-04,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-05,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-08,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-09,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-10,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-11,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-12,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-15,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-16,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-17,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-18,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-19,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-22,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-23,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-24,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-26,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-29,660.00,660.00,660.00,660.00,643.17,0.00
2010-11-30,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-01,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-02,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-03,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-06,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-07,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-08,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-09,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-10,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-13,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-14,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-15,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-16,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-17,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-20,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-21,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-22,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-23,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-27,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-28,660.00,660.00,660.00,660.00,643.17,0.00
